movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20174442,뷰티풀 데이즈,Beautiful Days,20181121,드라마,한국,윤재호
20180321,기생 : 꽃의 고백,Gisaeng : The Confession of a Flower,20180125,다큐멘터리,한국,홍태선
20188824,60일의 썸머,60 Days of Summer,20181025,드라마,한국,김희영
20134521,부다페스트 로큰롤,Made in Hungaria,20181220,뮤지컬,헝가리,게르게이 포뇨
20183384,서산개척단,Land of Sorrow,20180524,다큐멘터리,한국,이조훈
20189281,폴란드로 간 아이들,The Children Gone to Poland,20181031,다큐멘터리,한국,추상미
20172626,노맨스랜드,NOMANSLAND,20180718,코미디,한국,박중하
20182279,더 블랙,the BLACK,20180913,다큐멘터리,한국,이마리오
20181821,어른도감,Adulthood,20180823,코미디,한국,김인선
20182323,임을 위한 행진곡,,20180516,드라마,한국,박기복
20179205,조선명탐정: 흡혈괴마의 비밀,Detective K: Secret of the Living Dead,20180208,사극,한국,김석윤
20184678,배반의 장미,Too Hot to Die,20181018,코미디,한국,박진영
20178395,12 솔져스,12 Strong,20180131,액션,미국,니콜라이 퓰시
20176848,데드풀 2,DEADPOOL 2,20180516,액션,미국,데이빗 레이치
20180282,속닥속닥,The Whispering,20180713,공포(호러),한국,최상훈
20179731,나미야 잡화점의 기적,The Miracles of the Namiya General Store,20180228,판타지,일본,히로키 류이치
20189268,루이스,Luis and the Aliens,20180920,애니메이션,독일,울프강 라우엔슈타인
20176081,경계인들,The marginal people,20181012,드라마,한국,박소진
20178522,콜 미 바이 유어 네임,Call Me by Your Name,20180322,드라마,이탈리아,루카 구아다니노
20184842,아이 캔 온리 이매진,I Can Only Imagine,20180621,드라마,미국,앤드류 어윈
20189987,킬러의 보디가드 무삭제 특별판,The Hitman's Bodyguard,20180912,액션,미국,패트릭 휴즈
20185485,보헤미안 랩소디,Bohemian Rhapsody,20181031,드라마,미국,브라이언 싱어
20184801,유전,Hereditary,20180607,공포(호러),미국,아리 에스터
20184845,미드나잇 선,Midnight Sun,20180621,멜로/로맨스,미국,스콧 스피어
20185341,마녀,The Witch : Part 1. The Subversion,20180627,미스터리,한국,박훈정
20175930,피의 연대기,For Vagina’s Sake,20180118,다큐멘터리,한국,김보람
20176121,흥부: 글로 세상을 바꾼 자,Heung-boo: The Revolutionist,20180214,사극,한국,조근현
20153446,너의 결혼식,On Your Wedding Day,20180822,멜로/로맨스,한국,이석근
20182989,커다랗고 커다랗고 커다란 배,The Incredible Story of the Giant Pear,20180503,애니메이션,덴마크,필립 립스키
20168766,종이 비행기,Paper Planes,20180131,드라마,한국,노홍식
20177981,밤치기,Hit the Night,20181101,멜로/로맨스,한국,정가영
20177538,완벽한 타인,Intimate Strangers,20181031,드라마,한국,이재규
20154762,천당의 밤과 안개,Night and Fog in Zona,20181129,다큐멘터리,한국,정성일
20187142,카메라를 멈추면 안 돼!,One Cut of the Dead,20180823,공포(호러),일본,우에다 신이치로
20171681,박화영,Park Hwa-young,20180719,드라마,한국,이환
20184101,여중생A,Student A,20180620,드라마,한국,이경섭
20179383,독전,Believer,20180522,범죄,한국,이해영
20172388,집의 시간들,A Long Farewell,20181025,다큐멘터리,한국,라야
20184642,어른이 되면,Grown Up,20181213,다큐멘터리,한국,장혜영
20173962,소공녀,Microhabitat,20180322,멜로/로맨스,한국,전고운
20182065,대관람차,The Goose Goes South,20180830,드라마,한국,백재호
20170513,동네사람들,Ordinary People,20181107,액션,한국,임진순
20180804,곤지암,GONJIAM: Haunted Asylum,20180328,공포(호러),한국,정범식
20184132,"세라비, 이것이 인생!",C'est la vie!,20180530,코미디,프랑스,올리비에르 나카체
20180744,스키타이: 불멸의 전사,THE SCYTHIAN,20180920,액션,러시아,러스탐 모사피르
20188382,세일즈맨의 전설,China Salesman,20180823,액션,중국,단빙
20179229,삼생삼세 십리도화,Once Upon a Time,20180118,판타지,중국,자오 샤오딩
20174244,버블 패밀리,Family in the Bubble,20181220,다큐멘터리,한국,마민지
20188242,타샤 튜더,Tasha Tudor: A Still Water Story,20180913,다큐멘터리,일본,마츠타니 미츠에
20175547,스윙키즈,Swing Kids,20181219,드라마,한국,강형철
20179101,공작,The Spy Gone North,20180808,드라마,한국,윤종빈
20189869,해피 투게더,Happy Together,20181115,드라마,한국,김정환
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,20180801,애니메이션,한국,최신규
20170658,PMC: 더 벙커,Take Point,20181226,액션,한국,김병우
20183130,걸스 스텝,Girls Step ,20180516,드라마,일본,카와무라 타이스케
20179230,도어락,Door Lock,20181205,스릴러,한국,이권
20174198,에델과 어니스트,Ethel & Ernest,20180510,애니메이션,영국,로저 메인우드
20175215,저니스 엔드,Journey's End,20181128,전쟁,영국,사울 딥
20183650,번개맨의 비밀,,20181206,가족,한국,강유선
20172602,홈,HOME,20180530,가족,한국,김종우
20172405,카운터스,Counters,20180815,다큐멘터리,한국,이일하
20178190,"이,기적인 남자",MR. EGOTISTIC,20181025,드라마,한국,김재식
20182981,리벤져,Revenger,20181206,액션,한국,이승원
20165562,소녀의 세계,Fantasy of the Girls,20181129,멜로/로맨스,한국,안정민
20178161,탐정: 리턴즈,The Accidental Detective 2: In Action,20180613,코미디,한국,이언희
20181318,배드 사마리안,Bad Samaritan,20181018,스릴러,미국,딘 데블린
20182648,조건아빠: 슈가대디,,20181015,멜로/로맨스,한국,한동호
20168250,골든슬럼버,Golden Slumber,20180214,범죄,한국,노동석
20177552,국가부도의 날,Default,20181128,드라마,한국,최국희
20185484,안나 카레니나,ANNA KARENINA,20180629,뮤지컬,한국,신예지
20154908,7년의 밤,Seven Years of Night,20180328,스릴러,한국,추창민
20182935,출국,Unfinished,20181114,드라마,한국,노규엽
20177537,상류사회,High Society,20180829,드라마,한국,변혁
20184139,인퀴지터: 엘도라도의 저주,City of Gold,20181204,어드벤처,미국,해리 록
20160501,두 번째 겨울,Second Winter,20181227,드라마,한국,김의곤
20184140,크리미널 체이스,Reprisal,20181204,액션,미국,브라이언 A 밀러
20184464,데드 트리거,Dead Trigger,20181214,액션,미국,스콧 윈드하우저
20174283,"1991, 봄",Courtesy to the Nation,20181031,다큐멘터리,한국,권경원
